date,user/page_name,description,media link,tags
2023-11-13,said_shindy,"['# ', '@Said_shindy']",https://www.tiktok.com/@said_shindy/video/7301013089745489157,"['#seyamorad', '#moradbenyjrr', '#estilazooooo', '#tetuani44', '#marocaine', '#tiktok', '#الغربة']"
2023-12-01,bacmaroc17,['مسلسل وجع القلب ، مسلسل اسطنبول الظالمة '],https://www.tiktok.com/@bacmaroc17/video/7307600655571619077,"['#مسلسل', '#مسلسلات', '#مسلسل_وجع_القلب', '#مسلسل_اسطنبول_الظالمة', '#مسلسلات_ماهر7', '#مسلسلات_تركيه_مدبلجه', '#مسلسلات_تركية', '#foryou', '#fyp', '#animeobito7', '#المغرب', '#maroc', '#اسطنبول_الظالمة', '#مسلسلات_تركيه🇹🇷', '#مسلسلات_تركية_مدبلجة', '#وجع_القلب', '#turk_mosalsalat', '#ramadan2026', '#ramadan2025', '#Ramadan2024', '#تصميم_فيديوهات🎶🎤🎬', '#مشاهير_تيك_توك', '#حلقة', '#حلقة_اليوم', '#حلقة_جديدة', '#مسلسلات_ماهر7']"
2023-11-19,dahk.bdarija,"['😂😂😂 ', ' احسن مقطع في مسلسل ']",https://www.tiktok.com/@dahk.bdarija/video/7303168523562454278,"['#comedia', '#سوحليفة', '#فكاهة_ضحك', '#فكاهة😂😂🤣أبوني', '#كوميديا', '#رمضان', '#flypシ', '#فكاهةمغربية', '#dahk_maroc', '#fyp', '#tiktok']"
2023-11-15,yoursmile.art0,[],https://www.tiktok.com/@yoursmile.art0/video/7301466098816404742,"['#maroco🇲🇦algeria🇩🇿tunisia🇹🇳_paris🇨🇵', '#فرنسا🇨🇵_بلجيكا🇧🇪_المانيا🇩🇪', '#casabblanca', '#marocc', '#mariagemarocain🕊💍', '#maroc_algerie_tunisie🇲🇦🇩🇿🇹🇳', '#maroc_algerie_tunisie', '#morrocco']"
2023-12-02,caftan_maroc_zman,['الفنانة بلقيس تغني أغاني مغربية '],https://www.tiktok.com/@caftan_maroc_zman/video/7308134304565972230,"['#caftanmarocain', '#morroco', '#tiktok', '#الإمارات', '#السعودية', '#دبي', '#caftan']"
2023-12-02,rajae.zakaria1,['عام داز على زواجنا هاد الفيديو بحال إلى البارح 😍'],https://www.tiktok.com/@rajae.zakaria1/video/7307769017735924997,"['#الشعب_الصيني_ماله_حل😂😂', '#treanding', '#challenge', '#ahidous_amazighi', '#marocaine🇲🇦', '#mariage', '#couple']"
2023-12-02,bellingham_real_madrid.1,['ذكريات دوري ابطال اوروبا 2019/2020 ردة فعل ذيابة على مباراة برشلونة ضد بايرن ميونيخ 8-2 '],https://www.tiktok.com/@bellingham_real_madrid.1/video/7308032334081592582,"['#barcelona', '#bayernmunich', '#berandafypシ', '#bellingham', '#maroc', '#cr7', '#fypシ゚viral', '#fypシ', '#fypシ', '#viraltiktok', '#viralvideo', '#video', '#laliga', '#dúo', '#tchelse', '#liverpool', '#manchestercity', '#naboli', '#realmadrid', '#ردة_فعل']"
2023-11-29,bacmaroc17,"['Réponse à ', ' مسلسل وجع القلب ، مسلسل اسطنبول الظالمة ', '@The Best 2']",https://www.tiktok.com/@bacmaroc17/video/7306864942752238854,"['@user823170792093', '#مسلسل', '#مسلسلات', '#مسلسل_وجع_القلب', '#مسلسل_اسطنبول_الظالمة', '#مسلسلات_ماهر7', '#مسلسلات_تركيه_مدبلجه', '#مسلسلات_تركية', '#foryou', '#fyp', '#animeobito7', '#المغرب', '#maroc', '#اسطنبول_الظالمة', '#مسلسلات_تركيه🇹🇷', '#مسلسلات_تركية_مدبلجة', '#وجع_القلب', '#turk_mosalsalat', '#ramadan2026', '#ramadan2025', '#Ramadan2024', '#تصميم_فيديوهات🎶🎤🎬', '#مشاهير_تيك_توك', '#حلقة', '#حلقة_اليوم', '#حلقة_جديدة', '#مسلسلات_ماهر7']"
2023-11-18,moro_ccoooo,"['رشيد الوالي: ""أجرة الأستاذ كارثة"" ']",https://www.tiktok.com/@moro_ccoooo/video/7302584897548569862,"['#الأساتذة', '#بوعيدة_عبدالرحيم', '#معتوق_جمال', '#morocco🇲🇦', '#morocco', '#maroc', '#fypシ', '#foryoupage', '#التعليم']"
2023-12-01,bacmaroc17,"['Réponse à ', ' مسلسل وجع القلب ، مسلسل اسطنبول الظالمة ']",https://www.tiktok.com/@bacmaroc17/video/7307580283446988037,"['@0ill.1278', '#مسلسل', '#مسلسلات', '#مسلسل_وجع_القلب', '#مسلسل_اسطنبول_الظالمة', '#مسلسلات_ماهر7', '#مسلسلات_تركيه_مدبلجه', '#مسلسلات_تركية', '#foryou', '#fyp', '#animeobito7', '#المغرب', '#maroc', '#اسطنبول_الظالمة', '#مسلسلات_تركيه🇹🇷', '#مسلسلات_تركية_مدبلجة', '#وجع_القلب', '#turk_mosalsalat', '#ramadan2026', '#ramadan2025', '#Ramadan2024', '#تصميم_فيديوهات🎶🎤🎬', '#مشاهير_تيك_توك', '#حلقة', '#حلقة_اليوم', '#حلقة_جديدة', '#مسلسلات_ماهر7']"
